Origin,Country/territory of asylum,Procedure T,Procedure L,Pending start 2011,Applied during 2011,Positive convetion status,Positive complem. protect. status.,Rejected,Otherwise closed,Total,Pending end 2011,Protection indicators recognition rates ref. status,Protection indicators recognition rates total,Protection indicators otherwise closed rate,Protection indicators change pending cases (%)
Nigeria,Morocco,U,FI,34,101,0,0,99,14,113,22,0,0,12.4,-35.3
Nigeria,Netherlands,G,FI,154,129,*,19,153,0,173,102,0.6,11.6,0,-33.8
Nigeria,Norway,G,AR,196,316,*,*,297,28,328,170,0.3,1,8.5,-13.3
Nigeria,Norway,G,FI,86,240,8,17,126,132,283,78,5.3,16.6,46.6,-9.3
Nigeria,South Africa,G,FI,0,2156,0,0,957,0,957,1199,0,0,0,..
Nigeria,Spain,G,FI,268,259,0,0,209,15,224,0,0,0,6.7,-100
Nigeria,Sweden,G,AR,96,227,0,*,210,28,240,111,0,0.9,11.7,15.6
Nigeria,Sweden,G,FI,129,340,9,17,222,23,271,114,3.6,10.5,8.5,-11.6
Nigeria,Switzerland4,G,FI,367,1303,*,*,21,1792,1817,535,4,16,98.6,45.8
Nigeria,United Kingdom,G,AR,346,329,64,0,256,19,339,358,20,20,5.6,3.5
Nigeria,United Kingdom,G,FI,307,1105,30,106,815,141,1092,392,3.2,14.3,12.9,27.7
Nigeria,United States,G,EO,0,158,32,0,82,92,206,0,28.1,28.1,44.7,..
Nigeria,United States,G,IN,15,102,29,0,7,53,89,31,80.6,80.6,59.6,106.7
Pakistan,Australia,G,AR,40,238,48,0,62,5,115,177,43.6,43.6,4.3,342.5
Pakistan,Australia,G,FI,280,817,291,0,302,0,593,391,49.1,49.1,0,39.6
Pakistan,Austria,G,FA,494,949,*,6,303,110,423,1059,1.3,3.2,26,114.4
Pakistan,Belgium,G,FI,238,924,6,0,189,24,219,788,3.1,3.1,11,231.1
Pakistan,Canada,G,FI,821,882,433,0,138,73,644,1069,75.8,75.8,11.3,30.2
Pakistan,Cyprus,G,AR,25,114,0,0,79,20,99,40,0,0,20.2,60
Pakistan,Cyprus,G,FI,56,148,*,0,149,11,161,43,0.7,0.7,6.8,-23.2
Pakistan,France,G,FI,0,1433,16,*,860,0,878,0,1.8,2.1,0,..
Pakistan,Germany,G,,623,2539,147,*,865,51,1065,2099,14.5,14.7,4.8,236.9
Pakistan,Germany,G,RA,69,101,5,*,5,49,63,102,35.7,64.3,77.8,47.8
Pakistan,Greece,G,FI,0,2309,0,7,2627,403,3037,0,0,0.3,13.3,..
Pakistan,Hungary,G,FI,10,121,0,*,39,22,63,0,0,4.9,34.9,-100
Pakistan,Indonesia,U,FA,21,177,*,0,0,58,61,137,100,100,95.1,552.4
Pakistan,Ireland,G,AR,64,135,5,0,152,*,160,39,3.2,3.2,1.9,-39.1
Pakistan,Ireland,G,FI,68,197,12,0,161,54,227,38,6.9,6.9,23.8,-44.1
Pakistan,Italy,G,FI,0,2058,89,311,1127,0,1527,0,5.8,26.2,0,..
Pakistan,Japan5,G,AR,50,142,0,0,19,23,42,150,0,0,54.8,200
Pakistan,Japan5,G,FI,93,169,0,*,154,9,163,99,0,1.3,5.5,6.5
Pakistan,Malaysia,U,FI,42,120,8,0,*,*,13,149,66.7,66.7,7.7,254.8
Pakistan,Norway,G,AR,102,136,*,*,115,*,120,103,0.9,1.7,2.5,1
Pakistan,Rep. of Korea,G,FA,134,434,*,5,95,30,131,437,1,5.9,22.9,226.1
Pakistan,Romania,G,FA,26,174,0,0,97,10,107,93,0,0,9.3,257.7
Pakistan,Serbia (and Kosovo: S/RES/1244 (1999)),J,FI,*,348,0,0,0,345,345,*,..,..,100,300
Pakistan,South Africa,G,FI,0,2929,0,0,1581,0,1581,1348,0,0,0,..
Pakistan,Sri Lanka,U,FA,134,155,22,0,75,0,97,192,22.7,22.7,0,43.3
Pakistan,Sweden,G,AR,57,119,*,8,65,11,88,95,5.2,15.6,12.5,66.7
Pakistan,Sweden,G,FI,63,183,18,14,117,14,163,79,12.1,21.5,8.6,25.4
Pakistan,The former Yugoslav Republic of Macedonia,G,FA,21,172,0,0,0,145,145,48,..,..,100,128.6
Pakistan,United Kingdom,G,AR,825,1326,201,0,997,63,1261,1430,16.8,16.8,5,73.3
Pakistan,United Kingdom,G,FI,490,4005,385,70,2669,286,3410,1100,12.3,14.6,8.4,124.5
Pakistan,United States,G,EO,0,255,169,0,113,229,511,0,59.9,59.9,44.8,..
Pakistan,United States,G,IN,85,419,169,0,6,195,370,192,96.6,96.6,52.7,125.9
Palestinian,Cyprus,G,AR,1250,303,*,*,1113,56,1176,377,0.3,0.6,4.8,-69.8
Palestinian,Italy,G,FI,0,118,29,5,30,0,64,0,45.3,53.1,0,..
Palestinian,Spain,G,FI,66,131,85,12,6,*,104,0,82.5,94.2,1,-100
Palestinian,Turkey,U,FI,67,157,36,0,5,53,94,130,87.8,87.8,56.4,94
Palestinian,United Kingdom,G,AR,78,119,17,0,99,*,120,65,14.7,14.7,3.3,-16.7
Palestinian,United Kingdom,G,FI,78,234,17,14,133,71,235,80,10.4,18.9,30.2,2.6
Peru,Canada,G,FI,257,106,16,0,86,20,122,241,15.7,15.7,16.4,-6.2
Peru,France,G,FI,0,105,*,*,100,0,104,0,2.9,3.8,0,..
Peru,United States,G,EO,0,150,23,0,51,99,173,0,31.1,31.1,57.2,..
Peru,United States,G,IN,24,116,27,0,0,85,112,32,100,100,75.9,33.3
Philippines,Canada,G,FI,272,115,18,0,175,28,221,165,9.3,9.3,12.7,-39.3
Philippines,"Hong Kong SAR, China",U,FI,25,115,0,0,58,46,104,36,0,0,44.2,44
Philippines,United States,G,EO,0,125,6,0,55,100,161,0,9.8,9.8,62.1,..
Philippines,United States,G,IN,7,141,*,0,*,130,133,40,33.3,33.3,97.7,471.4
Poland,Canada,G,FI,132,284,9,0,40,37,86,330,18.4,18.4,43,150
Rep. of Korea,Canada,G,FI,188,108,20,0,76,74,170,126,20.8,20.8,43.5,-33
Rep. of Moldova,France,G,FI,0,237,0,*,206,0,207,0,0,0.5,0,..
Rep. of Moldova,United States,G,IN,30,278,100,0,*,146,248,84,98,98,58.9,180
Romania,Canada,G,FI,209,259,34,0,35,29,98,369,49.3,49.3,29.6,76.6
Romania,United States,G,EO,0,125,17,0,21,81,119,0,44.7,44.7,68.1,..
Russian Fed.,Austria,G,FA,3870,2314,1016,246,1958,271,3491,3109,31.6,39.2,7.8,-19.7
Russian Fed.,Belgium,G,FI,1670,1747,333,*,2258,157,2751,908,12.8,13,5.7,-45.6
Russian Fed.,Belgium,G,RA,0,1054,0,0,0,0,0,0,..,..,..,..
Russian Fed.,Canada,G,FI,364,142,119,0,47,32,198,307,71.7,71.7,16.2,-15.7
Russian Fed.,Denmark,G,FI,33,304,55,42,116,0,213,27,25.8,45.5,0,-18.2
Russian Fed.,Finland,G,FI,347,294,60,58,104,151,373,291,27,53.2,40.5,-16.1
Russian Fed.,France,G,FI,0,4062,329,14,2403,0,2746,0,12,12.5,0,..
Russian Fed.,France,G,RA,0,427,0,0,0,0,0,0,..,..,..,..
Russian Fed.,Germany,G,,747,1689,110,30,501,415,1056,1293,17.2,21.8,39.3,73.1
Russian Fed.,Germany,G,RA,150,190,20,17,12,153,202,135,40.8,75.5,75.7,-10
Russian Fed.,Netherlands,G,FI,228,451,*,16,446,0,466,239,0.9,4.3,0,4.8
Russian Fed.,Norway,G,AR,435,937,58,42,582,21,703,637,8.5,14.7,3,46.4
Russian Fed.,Norway,G,FI,214,365,*,20,236,201,458,132,0.4,8.2,43.9,-38.3
Russian Fed.,Poland,G,FI,956,3034,82,214,1798,4796,6890,1918,3.9,14.1,69.6,100.6
Russian Fed.,Poland,G,RA,0,1271,0,0,0,0,0,0,..,..,..,..
Russian Fed.,Sweden,G,AR,396,637,9,39,612,105,765,427,1.4,7.3,13.7,7.8
Russian Fed.,Sweden,G,FI,371,933,30,58,645,113,846,286,4.1,12,13.4,-22.9
Russian Fed.,Switzerland4,G,FI,115,217,49,33,73,174,329,98,31.6,52.9,52.9,-14.8
Russian Fed.,United States,G,IN,129,805,337,0,23,371,731,256,93.6,93.6,50.8,98.4
Rwanda,Belgium,G,FI,304,368,140,0,384,13,537,290,26.7,26.7,2.4,-4.6
Rwanda,Belgium,G,RA,0,172,0,0,0,0,0,0,..,..,..,..
Rwanda,Burundi,G,FA,461,169,30,0,*,6,38,592,93.8,93.8,15.8,28.4
Rwanda,Cameroon,U,FA,96,104,29,0,70,14,113,87,29.3,29.3,12.4,-9.4
Rwanda,Dem. Rep. of the Congo,U,FI,152,104,0,0,0,0,0,256,..,..,..,68.4
Rwanda,France,G,FI,0,235,88,0,89,0,177,0,49.7,49.7,0,..
Rwanda,Kenya,U,AR,45,348,40,0,224,7,271,122,15.2,15.2,2.6,171.1
Rwanda,Malawi,G,AR,1554,137,0,0,0,29,29,1662,..,..,100,6.9
Rwanda,Malawi,G,FI,1211,291,80,0,92,16,188,1314,46.5,46.5,8.5,8.5
Rwanda,Mozambique,G,FI,369,236,19,0,0,0,19,586,100,100,0,58.8
Rwanda,South Africa,G,FI,0,263,35,0,86,0,121,142,28.9,28.9,0,..
Rwanda,Uganda,G,FA,3430,330,43,0,921,0,964,2796,4.5,4.5,0,-18.5
Rwanda,United States,G,IN,42,138,68,0,8,59,135,61,89.5,89.5,43.7,45.2
Saint Lucia,Canada,G,FI,683,599,279,0,260,63,602,679,51.8,51.8,10.5,-0.6
Saint Vincent and the Grenadines,Canada,G,FI,1047,682,288,0,457,79,824,905,38.7,38.7,9.6,-13.6
Senegal,Belgium,G,FI,141,314,109,0,219,8,336,93,33.2,33.2,2.4,-34
Senegal,Cameroon,U,FA,0,168,0,0,6,5,11,157,0,0,45.5,..
Senegal,France,G,FI,0,188,11,53,90,0,154,0,7.1,41.6,0,..
Senegal,Greece,G,FI,0,375,0,0,123,41,164,0,0,0,25,..
Senegal,Italy,G,FI,0,775,35,28,321,0,384,0,9.1,16.4,0,..
Senegal,South Africa,G,FI,0,212,0,0,48,0,48,164,0,0,0,..
Senegal,Switzerland4,G,FI,27,132,*,*,8,113,123,55,10,20,91.9,103.7
Senegal,United States,G,IN,29,157,10,0,*,136,148,40,83.3,83.3,91.9,37.9
Serbia (and Kosovo: S/RES/1244 (1999)),Austria,G,FA,2797,541,57,86,1619,194,1956,1598,3.2,8.1,9.9,-42.9
Serbia (and Kosovo: S/RES/1244 (1999)),Belgium,G,FI,3025,3067,352,0,4814,531,5697,1050,6.8,6.8,9.3,-65.3
Serbia (and Kosovo: S/RES/1244 (1999)),Belgium,G,RA,0,1510,0,0,0,0,0,0,..,..,..,..
Serbia (and Kosovo: S/RES/1244 (1999)),Denmark,G,FI,17,325,0,0,6,0,6,27,0,0,0,58.8
Serbia (and Kosovo: S/RES/1244 (1999)),Finland,G,FI,82,160,0,11,42,149,202,83,0,20.8,73.8,1.2
Serbia (and Kosovo: S/RES/1244 (1999)),France,G,FI,0,3470,101,8,3650,0,3759,0,2.7,2.9,0,..
Serbia (and Kosovo: S/RES/1244 (1999)),France,G,RA,0,442,0,0,0,0,0,0,..,..,..,..
Serbia (and Kosovo: S/RES/1244 (1999)),Germany,G,,2188,5974,0,34,4985,947,5966,2239,0,0.7,15.9,2.3
Serbia (and Kosovo: S/RES/1244 (1999)),Germany,G,RA,1050,2899,*,40,652,2237,2933,1044,0.6,6.3,76.3,-0.6
Serbia (and Kosovo: S/RES/1244 (1999)),Hungary,G,FI,71,238,0,*,133,97,232,0,0,1.5,41.8,-100
Serbia (and Kosovo: S/RES/1244 (1999)),Italy,G,FI,0,194,9,34,264,0,307,0,2.9,14,0,..
Serbia (and Kosovo: S/RES/1244 (1999)),Luxembourg,G,FI,215,1064,7,0,465,0,472,0,1.5,1.5,0,-100
Serbia (and Kosovo: S/RES/1244 (1999)),Netherlands,G,FI,97,120,0,0,142,0,142,81,0,0,0,-16.5
Serbia (and Kosovo: S/RES/1244 (1999)),Norway,G,AR,138,255,0,5,297,8,310,76,0,1.7,2.6,-44.9
Serbia (and Kosovo: S/RES/1244 (1999)),Norway,G,FI,43,240,0,*,144,100,246,47,0,1.4,40.7,9.3
Serbia (and Kosovo: S/RES/1244 (1999)),Sweden,G,AR,1009,2497,*,43,2593,357,2994,815,0,1.7,11.9,-19.2
Serbia (and Kosovo: S/RES/1244 (1999)),Sweden,G,FI,1815,3915,6,124,3118,533,3781,1663,0.2,4,14.1,-8.4
Serbia (and Kosovo: S/RES/1244 (1999)),Switzerland4,G,FI,580,1539,14,96,433,730,1273,1263,2.6,20.3,57.3,117.8
Sierra Leone,France,G,FI,0,123,*,*,101,0,109,0,3.7,7.3,0,..
Sierra Leone,Italy,G,FI,0,102,5,15,47,0,67,0,7.5,29.9,0,..
Sierra Leone,Netherlands,G,FI,162,134,*,43,123,0,168,163,1.2,26.8,0,0.6
Slovakia,Canada,G,FI,419,329,*,0,58,163,225,526,6.5,6.5,72.4,25.5
Somalia,Angola,G,FA,53,125,178,0,0,0,178,0,100,100,0,-100
Somalia,Austria,G,FA,407,610,261,126,51,26,464,691,59.6,88.4,5.6,69.8
Somalia,Belgium,G,FI,158,454,95,37,213,8,353,184,27.5,38.3,2.3,16.5
Somalia,Belgium,G,RA,0,107,0,0,0,0,0,0,..,..,..,..
Somalia,Canada,G,FI,875,416,646,0,31,165,842,442,95.4,95.4,19.6,-49.5
Somalia,Denmark,G,FI,*,107,0,5,20,0,25,39,0,20,0,875
Somalia,Egypt,U,FI,358,713,164,0,94,28,286,785,63.6,63.6,9.8,119.3
Somalia,Finland,G,FI,325,365,*,264,46,200,513,270,1,85.3,39,-16.9
Somalia,France,G,FI,0,762,49,204,396,0,649,0,7.6,39,0,..
Somalia,Germany,G,,1572,984,451,305,31,516,1303,1220,57.3,96.1,39.6,-22.4
Somalia,India,U,FI,75,116,128,0,0,33,161,30,100,100,20.5,-60
Somalia,Indonesia,U,FA,38,196,36,0,0,5,41,193,100,100,12.2,407.9
Somalia,Italy,G,FI,0,1205,253,411,37,0,701,0,36.1,94.7,0,..
Somalia,Kenya,U,AR,193,410,162,0,35,*,198,405,82.2,82.2,0.5,109.8
Somalia,Kenya,U,FI,1242,513,274,0,*,140,415,1340,99.6,99.6,33.7,7.9
Somalia,Malaysia,U,FI,188,227,132,0,5,61,198,217,96.4,96.4,30.8,15.4
Somalia,Malta,G,FI,0,454,5,401,*,0,410,44,1.2,99,0,..
Somalia,Mozambique,G,FI,1484,629,6,0,0,0,6,2107,100,100,0,42
Somalia,Netherlands,G,FI,2268,1415,35,1638,950,0,2623,1595,1.3,63.8,0,-29.7
Somalia,Netherlands,G,RA,0,571,0,0,0,0,0,0,..,..,..,..
Somalia,Norway,G,AR,557,621,7,77,399,130,613,546,1.4,17.4,21.2,-2
Somalia,Norway,G,FI,718,2216,759,446,106,454,1765,1205,57.9,91.9,25.7,67.8
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),J,FI,16,492,0,0,15,314,329,179,0,0,95.4,1018.8
Somalia,South Africa,G,FI,0,9986,3639,0,669,0,4308,5678,84.5,84.5,0,..
Somalia,Sweden,G,AR,249,390,16,159,451,112,738,155,2.6,28,15.2,-37.8
Somalia,Sweden,G,FI,1304,3981,222,2168,229,348,2967,1589,8.5,91.3,11.7,21.9
Somalia,Switzerland4,G,FI,372,558,152,282,18,195,647,403,33.6,96,30.1,8.3
Somalia,Syrian Arab Rep.,U,FI,336,472,405,0,*,266,673,135,99.5,99.5,39.5,-59.8
Somalia,Tunisia,U,FA,0,1127,1052,0,14,0,1066,61,98.7,98.7,0,..
Somalia,Turkey,U,FI,296,744,255,0,17,148,420,620,93.8,93.8,35.2,109.5
Somalia,Uganda,G,FA,6260,3953,3173,0,0,0,3173,7040,100,100,0,12.5
Somalia,Ukraine,G,FA,123,171,5,0,50,80,135,159,9.1,9.1,59.3,29.3
Somalia,United Kingdom,G,AR,239,172,114,0,80,21,215,161,58.8,58.8,9.8,-32.6
Somalia,United Kingdom,G,FI,265,660,410,60,164,82,716,263,64.7,74.1,11.5,-0.8
Somalia,United Rep. of Tanzania,J,FI,0,299,0,0,0,0,0,299,..,..,..,..
Somalia,United States,G,EO,0,216,173,0,90,92,355,0,65.8,65.8,25.9,..
Somalia,Zambia,G,FI,89,400,64,0,0,0,64,425,100,100,0,377.5
South Africa,United Kingdom,G,FI,62,102,5,12,98,9,124,26,4.3,14.8,7.3,-58.1
Sri Lanka,Australia,G,AR,23,110,38,0,52,8,98,50,42.2,42.2,8.2,117.4
Sri Lanka,Australia,G,FI,230,370,306,0,249,0,555,220,55.1,55.1,0,-4.3
Sri Lanka,Belgium,G,FI,155,129,70,0,148,6,224,70,32.1,32.1,2.7,-54.8
Sri Lanka,Canada,G,FI,1283,635,281,0,183,28,492,1432,60.6,60.6,5.7,11.6
Sri Lanka,Cyprus,G,AR,69,160,0,*,129,19,152,77,0,3,12.5,11.6
Sri Lanka,Cyprus,G,FI,114,115,0,0,193,0,193,36,0,0,0,-68.4
Sri Lanka,France,G,FI,0,3222,332,15,2811,0,3158,0,10.5,11,0,..
Sri Lanka,France,G,RA,0,651,0,0,0,0,0,0,..,..,..,..
Sri Lanka,Germany,G,,301,521,124,11,178,19,332,486,39.6,43.1,5.7,61.5
Sri Lanka,Indonesia,U,FA,235,226,46,0,*,98,145,316,97.9,97.9,67.6,34.5
Sri Lanka,Japan5,G,AR,104,231,0,*,40,46,86,249,0,2.4,53.5,139.4
Sri Lanka,Japan5,G,FI,156,224,0,8,278,12,290,90,0,2.8,4.1,-42.3
Sri Lanka,Malaysia,U,AR,128,261,*,0,142,0,143,246,0.7,0.7,0,92.2
Sri Lanka,Malaysia,U,FI,1587,870,100,0,322,131,553,1904,23.7,23.7,23.7,20
Sri Lanka,Netherlands,G,FI,206,124,26,86,125,0,237,140,11,47.3,0,-32
Sri Lanka,Norway,G,AR,272,190,0,17,325,16,358,54,0,5,4.5,-80.1
Sri Lanka,Rep. of Korea,G,FA,5,100,0,0,*,*,*,102,0,0,33.3,1940
Sri Lanka,Switzerland4,G,FI,1764,433,90,100,478,187,855,1471,13.5,28.4,21.9,-16.6
Sri Lanka,Thailand,U,AR,58,102,0,0,11,25,36,124,0,0,69.4,113.8
Sri Lanka,Thailand,U,FI,299,110,39,0,100,230,369,40,28.1,28.1,62.3,-86.6
Sri Lanka,United Kingdom,G,AR,769,1246,467,0,751,46,1264,904,38.3,38.3,3.6,17.6
Sri Lanka,United Kingdom,G,FI,536,2142,349,39,1522,138,2048,707,18.3,20.3,6.7,31.9
Sri Lanka,United States,G,EO,0,125,89,0,81,116,286,0,52.4,52.4,40.6,..
Sri Lanka,United States,G,IN,47,135,31,0,*,100,133,59,93.9,93.9,75.2,25.5
Stateless,Australia,G,FI,25,525,519,0,356,0,875,50,59.3,59.3,0,100
Stateless,Austria,G,FA,278,187,83,22,120,48,273,217,36.9,46.7,17.6,-21.9
Stateless,France,G,FI,0,157,55,0,112,0,167,0,32.9,32.9,0,..
Stateless,Germany,G,,103,239,21,8,54,12,95,244,25.3,34.9,12.6,136.9
Stateless,Norway,G,AR,554,536,7,21,655,26,709,348,1,4.1,3.7,-37.2
Stateless,Norway,G,FI,232,262,31,92,191,119,433,108,9.9,39.2,27.5,-53.4
Stateless,Sweden,G,AR,260,672,25,59,664,61,809,283,3.3,11.2,7.5,8.8
Stateless,Sweden,G,FI,571,1109,125,378,519,86,1108,357,12.2,49.2,7.8,-37.5
Stateless,United Kingdom,G,FI,44,238,68,*,81,30,182,74,44.7,46.7,16.5,68.2
Sudan,Central African Rep.,G,FI,143,302,0,0,0,0,0,445,..,..,..,211.2
Sudan,Chad,J,FI,*,4884,4884,0,0,0,4884,*,100,100,0,0
Sudan,Egypt,U,AR,207,146,18,0,5,0,23,330,78.3,78.3,0,59.4
Sudan,Egypt,U,FI,12269,2735,265,0,259,384,908,14096,50.6,50.6,42.3,14.9
Sudan,Ethiopia,J,FI,100,729,98,0,0,*,101,728,100,100,3,628
Sudan,France,G,FI,0,785,115,*,759,0,876,0,13.1,13.4,0,..
Sudan,Germany,G,,86,102,6,23,34,22,85,85,9.5,46,25.9,-1.2
Sudan,Ghana,J,FA,123,109,*,0,0,0,*,229,100,100,0,86.2
Sudan,Italy,G,FI,0,712,145,62,102,0,309,0,46.9,67,0,..
Sudan,Jordan,U,FA,225,400,99,0,54,113,266,359,64.7,64.7,42.5,59.6
Sudan,Kenya,U,AR,208,4330,74,0,129,18,221,4317,36.5,36.5,8.1,1975.5
Sudan,Kenya,U,FI,6262,206,6,0,0,7,13,6455,100,100,53.8,3.1
Sudan,Lebanon,U,FI,402,287,40,0,79,178,297,392,33.6,33.6,59.9,-2.5
Sudan,Netherlands,G,FI,189,162,23,85,117,0,225,128,10.2,48,0,-32.3
Sudan,Norway,G,FI,186,209,137,11,11,56,215,196,86.2,93.1,26,5.4
Sudan,Sweden,G,FI,43,109,29,16,41,12,98,30,33.7,52.3,12.2,-30.2
Sudan,Switzerland4,G,FI,51,101,13,*,*,73,91,92,72.2,94.4,80.2,80.4
Sudan,Syrian Arab Rep.,U,FI,369,232,47,*,87,254,389,212,34.8,35.6,65.3,-42.5
Sudan,Tunisia,U,FA,0,1098,869,0,76,0,945,153,92,92,0,..
Sudan,Uganda,G,FA,507,626,64,0,16,0,80,1053,80,80,0,107.7
Sudan,United Kingdom,G,AR,91,104,50,0,65,14,129,71,43.5,43.5,10.9,-22
Sudan,United Kingdom,G,FI,144,793,543,*,109,108,762,188,83,83.3,14.2,30.6
Sudan,United States,G,IN,41,148,92,0,12,42,146,53,88.5,88.5,28.8,29.3
Swaziland,South Africa,G,FI,0,101,0,0,22,0,22,79,0,0,0,..
Syrian Arab Rep.,Austria,G,FA,471,422,360,49,83,25,517,456,73.2,83.1,4.8,-3.2
Syrian Arab Rep.,Belgium,G,FI,224,494,63,0,19,14,96,666,76.8,76.8,14.6,197.3
Syrian Arab Rep.,Belgium,G,RA,0,168,0,0,0,0,0,0,..,..,..,..
Syrian Arab Rep.,Canada,G,FI,221,181,83,0,56,14,153,251,59.7,59.7,9.2,13.6
Syrian Arab Rep.,Cyprus,G,FI,89,187,0,*,56,15,73,203,0,3.4,20.5,128.1
Syrian Arab Rep.,Denmark,G,FI,111,428,343,10,195,0,548,93,62.6,64.4,0,-16.2
Syrian Arab Rep.,Finland,G,FI,23,109,6,27,6,9,48,75,15.4,84.6,18.8,226.1
Syrian Arab Rep.,France,G,FI,0,119,33,5,18,0,56,0,58.9,67.9,0,..
Syrian Arab Rep.,Germany,G,,793,2634,283,17,362,154,816,2590,42.7,45.3,18.9,226.6
Syrian Arab Rep.,Germany,G,RA,207,802,106,23,*,98,228,798,81.5,99.2,43,285.5
Syrian Arab Rep.,Greece,G,FI,0,352,*,*,146,42,192,0,2,2.7,21.9,..
Syrian Arab Rep.,Iraq,U,FI,968,424,*,0,0,0,*,1391,100,100,0,43.7
Syrian Arab Rep.,Italy,G,FI,0,288,31,20,57,0,108,0,28.7,47.2,0,..
Syrian Arab Rep.,Jordan,U,FA,287,2398,5,0,28,34,67,2618,15.2,15.2,50.7,812.2
Syrian Arab Rep.,Lebanon,U,FI,127,338,60,0,44,51,155,310,57.7,57.7,32.9,144.1
Syrian Arab Rep.,Malta,G,FI,*,122,*,45,0,*,51,72,4.3,100,7.8,7100
Syrian Arab Rep.,Netherlands,G,FI,133,168,7,16,63,0,86,231,8.1,26.7,0,73.7
Syrian Arab Rep.,Norway,G,AR,108,158,0,0,113,7,120,157,0,0,5.8,45.4
Syrian Arab Rep.,Norway,G,FI,84,198,*,5,52,51,111,179,5,13.3,45.9,113.1
Syrian Arab Rep.,Sweden,G,AR,124,350,12,16,389,39,456,198,2.9,6.7,8.6,59.7
Syrian Arab Rep.,Sweden,G,FI,247,640,91,57,334,16,498,287,18.9,30.7,3.2,16.2
Syrian Arab Rep.,Switzerland4,G,FI,488,688,115,215,42,203,575,996,30.9,88.7,35.3,104.1
Syrian Arab Rep.,Turkey,U,FI,50,188,13,0,5,30,48,190,72.2,72.2,62.5,280
Syrian Arab Rep.,United Kingdom,G,AR,57,136,47,0,64,9,120,143,42.3,42.3,7.5,150.9
Syrian Arab Rep.,United Kingdom,G,FI,42,508,141,6,192,21,360,196,41.6,43.4,5.8,366.7
Syrian Arab Rep.,United States,G,IN,10,206,61,0,10,52,123,112,85.9,85.9,42.3,1020
The former Yugoslav Republic of Macedonia,Belgium,G,FI,531,1117,11,*,1250,199,1462,231,0.9,1,13.6,-56.5
The former Yugoslav Republic of Macedonia,Belgium,G,RA,0,293,0,0,0,0,0,0,..,..,..,..
The former Yugoslav Republic of Macedonia,France,G,FI,0,739,*,*,493,0,496,0,0.4,0.6,0,..
The former Yugoslav Republic of Macedonia,Germany,G,,426,1131,0,*,1040,197,1239,364,0,0.2,15.9,-14.6
The former Yugoslav Republic of Macedonia,Germany,G,RA,323,622,0,*,286,436,726,236,0,1.4,60.1,-26.9
The former Yugoslav Republic of Macedonia,Luxembourg,G,FI,18,452,0,0,148,0,148,0,0,0,0,-100
The former Yugoslav Republic of Macedonia,Netherlands,G,FI,61,266,0,0,275,0,275,24,0,0,0,-60.7
The former Yugoslav Republic of Macedonia,Sweden,G,AR,92,407,0,6,335,29,370,157,0,1.8,7.8,70.7
The former Yugoslav Republic of Macedonia,Sweden,G,FI,235,890,0,7,709,306,1022,89,0,1,29.9,-62.1
The former Yugoslav Republic of Macedonia,Switzerland4,G,FI,89,838,0,13,133,578,724,334,0,8.9,79.8,275.3
Togo,Belgium,G,FI,177,209,27,*,117,6,153,240,18.4,20.4,3.9,35.6
Togo,France,G,FI,0,120,22,*,83,0,106,0,20.8,21.7,0,..
Togo,Ghana,J,FA,95,1895,0,0,0,0,0,1990,..,..,..,1994.7
Togo,Italy,G,FI,0,252,7,13,156,0,176,0,4,11.4,0,..
Tunisia,Austria,G,FA,43,182,0,*,137,33,171,69,0,0.7,19.3,60.5
Tunisia,Belgium,G,FI,6,100,0,0,31,*,35,20,0,0,11.4,233.3
Tunisia,France,G,FI,0,199,5,0,142,0,147,0,3.4,3.4,0,..
Tunisia,Germany,G,,28,473,0,0,175,125,300,211,0,0,41.7,653.6
Tunisia,Italy,G,FI,0,4558,11,38,3258,0,3307,0,0.3,1.5,0,..
Tunisia,Romania,G,FA,*,243,0,0,200,9,209,36,0,0,4.3,1700
Tunisia,Sweden,G,FI,13,270,*,*,63,21,90,98,4.3,8.7,23.3,653.8
Tunisia,Switzerland4,G,FI,146,2324,7,*,49,2042,2099,634,12.3,14,97.3,334.2
Turkey,Austria,G,FA,1007,414,64,26,701,93,884,655,8.1,11.4,10.5,-35
Turkey,Belgium,G,FI,153,430,39,0,183,24,246,274,17.6,17.6,9.8,79.1
Turkey,Canada,G,FI,523,332,189,0,104,48,341,513,64.5,64.5,14.1,-1.9
Turkey,France,G,FI,0,1737,77,0,1683,0,1760,0,4.4,4.4,0,..
Turkey,France,G,RA,0,468,0,0,0,0,0,0,..,..,..,..
Turkey,Germany,G,,656,1578,116,15,1118,243,1492,776,9.3,10.5,16.3,18.3
Turkey,Germany,G,RA,204,316,15,11,39,259,324,195,23.1,40,79.9,-4.4
Turkey,Iraq,U,FI,421,118,0,0,0,0,0,539,..,..,..,28
Turkey,Italy,G,FI,0,612,120,39,555,0,714,0,16.8,22.3,0,..
Turkey,Japan5,G,AR,90,213,0,*,72,27,99,204,0,1.4,27.3,126.7
Turkey,Japan5,G,FI,104,234,0,*,221,23,244,94,0,1.8,9.4,-9.6
Turkey,Sweden,G,AR,89,146,5,*,123,42,174,83,3.8,6.8,24.1,-6.7
Turkey,Sweden,G,FI,109,139,7,9,147,19,182,52,4.3,9.8,10.4,-52.3
Turkey,Switzerland4,G,FI,418,508,139,23,115,137,414,639,50.2,58.5,33.1,52.9
